időpont;hazai;vendeg;odds;odds2;odds3
2022.12.01;Katar;Ecuador;1.2;2.2;
2022.12.01;Anglia;Irán;1.9;2.7;
2022.12.01;Szenegál;Hollandia;1.3;2.8;
2022.12.04;USA;Wales;2.9;2.5;
2022.12.05;Argentina;Szaúd-Arábia;1.4;2.6;
2022.12.06;Dánia;Tunézia;1.1;2.6;
2022.12.08;Mexikó;Lengyelország;1.2;3.4;
2022.12.22;Franciaország;Ausztrália;1.9;2.4;
2022.12.09;Marokkó;Horvátország;1.8;2.8;
2022.12.07;Németország;Japán;2.5;2.2;
2022.12.14;Spanyolország;Costa Rica;1.6;2.7;
2022.12.12;Belgium;Kanada;3.5;1.2;
2022.12.15;Svájc;Kamerun;4.8;1.2;
2022.12.11;Uruguay;Dél-Korea;1.2;2.0;
2022.12.11;Portugália;Ghána;4.4;2.2;
2022.12.13;Brazília;Szerbia;1.3;2.0;
2022.12.16;Wales;Irán;1.7;2.0;
2022.12.17;Katar;Szenegál;1.8;2.0;
2022.12.17;Hollandia;Ecuador;1.9;2.5;
2022.12.17;Anglia;USA;1.8;2.1;
2022.12.20;Tunézia;Ausztrália;1.7;2.3;
2022.12.26;Lengyelország;Szaúd-Arábia;1.5;2.6;
2022.12.26;Franciaország;Dánia;1.5;4.6;
2022.12.26;Argentina;Mexikó;1.5;2.8;
2022.12.27;Japán;Costa Rica;1.6;3.8;
2022.12.27;Belgium;Marokkó;1.6;2.7;
2022.12.27;Horvátország;Kanada;1.6;2.4;
2022.12.27;Spanyolország;Németország;1.6;2.8;
2022.12.28;Kamerun;Szerbia;1.6;2.7;
2022.12.28;Dél-Korea;Ghána;1.6;2.5;
2022.12.28;Brazília;Svájc;1.6;2.2;
2023.12.28;Portugália;Uruguay;1.8;2.4;
2021.12.29;Ecuador;Szenegál;1.7;2.2;
